,网上发行中签率,网下配售中签率,发行前每股净资产,首日换手率,投资金额总计,总资产,净资产,营业收入,净利润,资本公积,未分配利润,基本每股收益,净资产收益率
http://topic.eastmoney.com/wjncsyyh/,,&nbsp;,6.83,-,71647.16,778.7405,69.4176,11.453,3.96,100000,7.42,-,5.84
http://topic.eastmoney.com/SHYH2014/,,&nbsp;,17.77,-,1045043.21,16181.2893,997.219,179.6827,73.35,2039269.8,285.75,-,-
http://topic.eastmoney.com/jxgtmb/,,&nbsp;,3.77,-,31774.03,9.4322,6.3055,2.033,0.55,9546.64,3.11,-,8.97
http://topic.eastmoney.com/hnjyb/,,&nbsp;,5.96,-,28935.63,7.9793,3.8412,2.5849,0.23,4252.13,2.44,0.37,6.14
http://topic.eastmoney.com/zgjcjyrzjt/,,&nbsp;,2.11,-,85604.81,6.9618,3.9928,2.8326,0.48,-,1.51,-,11.85
http://topic.eastmoney.com/dfzkjckj/,,&nbsp;,3.54,-,14740,3.6709,3.0305,3.1363,0.12,4937.35,1.51,-,4.12
http://topic.eastmoney.com/czkkxh/,,&nbsp;,3.73,-,36105,3.0479,2.191,1.2927,0.44,5890.22,0.66,0.64,18.67
http://topic.eastmoney.com/BDYY2014/,,&nbsp;,2.47,-,82774.6,13.6865,11.0854,5.1858,2.12,1064.95,6.51,-,21.48
http://topic.eastmoney.com/SLSJ2014/,,&nbsp;,3.22,-,11492.77,4.1018,2.7187,1.7787,0.08,8638.98,0.88,0.12,3.67
http://topic.eastmoney.com/NBHTJGIPO/,,&nbsp;,2.07,-,23020,19.196,9.9511,5.1735,0.39,27638.61,2.17,-,3.92
http://topic.eastmoney.com/fsmjj/,,&nbsp;,6.5,-,185000,39.8358,25.7216,6.229,2.89,11014.33,19.71,-,11.91
http://topic.eastmoney.com/WHLGGKIPO/,,&nbsp;,6.11,-,24871.33,3.4121,2.6276,0.624,0.08,4351.92,1.54,-,3.08
http://topic.eastmoney.com/ZFT2014/,,&nbsp;,5.05,-,23328.45,3.8921,2.8794,1.6712,0.22,5218.07,1.67,-,8.17
http://topic.eastmoney.com/WHSLSIPO/,,&nbsp;,12.31,-,40172.07,7.2765,5.0873,2.9397,0.38,18963.82,2.52,-,7.55
