,股票代码,网址,网上发行中签率,网下配售中签率,发行前每股净资产,首日换手率,投资金额总计,总资产,净资产,营业收入,净利润,资本公积,未分配利润,基本每股收益,净资产收益率
1,?603323,http://topic.eastmoney.com/wjncsyyh/,error,error,6.83,error,71647.16,778.7405,69.4176,11.453,3.96,100000,7.42,error,5.84
2,?601229,http://topic.eastmoney.com/SHYH2014/,error,error,17.77,error,1045043.21,16181.2893,997.219,179.6827,73.35,2039269.8,285.75,error,error
3,?603977,http://topic.eastmoney.com/jxgtmb/,error,error,3.77,error,31774.03,9.4322,6.3055,2.033,0.55,9546.64,3.11,error,8.97
4,?603556,http://topic.eastmoney.com/hxdl/,error,error,6.31,error,184150,27.8501,17.6672,9.305,2.28,35653.23,9.87,0.81,13.49
5,?603319,http://topic.eastmoney.com/hnjyb/,error,error,5.96,error,28935.63,7.9793,3.8412,2.5849,0.23,4252.13,2.44,0.37,6.14
6,?603060,http://topic.eastmoney.com/zgjcjyrzjt/,error,error,2.11,error,85604.81,6.9618,3.9928,2.8326,0.48,error,1.51,error,11.85
7,?002819,http://topic.eastmoney.com/dfzkjckj/,error,error,3.54,error,14740,3.6709,3.0305,3.1363,0.12,4937.35,1.51,error,4.12
8,?603203,http://topic.eastmoney.com/czkkxh/,error,error,3.73,error,36105,3.0479,2.191,1.2927,0.44,5890.22,0.66,0.64,18.67
9,?300558,http://topic.eastmoney.com/BDYY2014/,error,error,2.47,error,82774.6,13.6865,11.0854,5.1858,2.12,1064.95,6.51,error,21.48
10,?300556,http://topic.eastmoney.com/SLSJ2014/,error,error,3.22,error,11492.77,4.1018,2.7187,1.7787,0.08,8638.98,0.88,0.12,3.67
11,?601882,http://topic.eastmoney.com/NBHTJGIPO/,error,error,2.07,error,23020,19.196,9.9511,5.1735,0.39,27638.61,2.17,error,3.92
12,?002818,http://topic.eastmoney.com/fsmjj/,error,error,6.5,error,185000,39.8358,25.7216,6.229,2.89,11014.33,19.71,error,11.91
13,?300557,http://topic.eastmoney.com/WHLGGKIPO/,error,error,6.11,error,24871.33,3.4121,2.6276,0.624,0.08,4351.92,1.54,error,3.08
14,?300560,http://topic.eastmoney.com/ZFT2014/,error,error,5.05,error,23328.45,3.8921,2.8794,1.6712,0.22,5218.07,1.67,error,8.17
15,?603716,http://topic.eastmoney.com/WHSLSIPO/,error,error,12.31,error,40172.07,7.2765,5.0873,2.9397,0.38,18963.82,2.52,error,7.55
16,?300559,http://topic.eastmoney.com/jfat/,error,error,4.46,error,35442.58,3.1745,2.6957,0.8097,0.3,2081.02,1.67,error,11.64
17,?603888,http://topic.eastmoney.com/XHWIPO/,error,error,7.33,error,149733.99,18.1375,11.4067,5.3218,1.02,23866.26,6.38,error,9.27
18,?603258,http://topic.eastmoney.com/dhwl/,error,error,3.1,error,87253.62,7.8206,5.5873,2.4732,1.4,1465.8,2.76,0.79,29.13
19,?600926,http://topic.eastmoney.com/hzyh/,error,error,14.38,error,361056.2,5668.8899,339.0749,68.0298,23.13,802252.8,136.04,1,7.14
20,?002817,http://topic.eastmoney.com/hsjn/,error,error,error,error,error,3.261,2.368,2.6895,0.4798,0.5356,1.0535,0.74,22.33
21,?603667,http://topic.eastmoney.com/wzxcjt/,error,error,4.56,error,62550,13.6379,7.5082,5.2791,0.45,21430.37,3.03,0.29,6.63
22,?002816,http://topic.eastmoney.com/shkdjm/,error,error,4.27,error,24159.89,4.8221,3.2029,1.5167,0.12,5612.69,1.83,0.16,3.92
23,?603859,http://topic.eastmoney.com/nkjnjs/,error,error,5.05,error,45222.11,5.3507,4.4131,0.8253,0.05,12962.06,2,0.07,1.45
24,?300552,http://topic.eastmoney.com/wjkjgf/,error,error,5.38,error,27610,7.7696,4.3073,2.9069,0.35,9206.59,2.35,0.44,8.46
25,?300553,http://topic.eastmoney.com/hzjzjd/,error,error,4.59,error,20716.38,1.8383,1.6528,0.5239,0.15,4179.08,0.76,error,9.58
26,?300550,http://topic.eastmoney.com/RHKJ2014/,error,error,3.87,error,54837.39,3.9601,2.3704,0.9559,0.17,3297.9,1.27,error,8
27,?300555,http://topic.eastmoney.com/ltsx/,error,error,4.87,error,35368.35,4.9316,2.9196,1.6228,0.24,2844.85,1.81,0.41,8.87
28,?603160,http://topic.eastmoney.com/hdkj/,error,error,2.86,error,90532,17.9052,13.7801,12.109,3.04,3422.9,8.22,error,error
29,?300551,http://topic.eastmoney.com/SHGADZKJIPO/,error,error,4.96,error,28078,4.4159,2.8728,1.1238,0.15,4448.42,1.71,0.27,5.21
30,?603816,http://topic.eastmoney.com/gjjuipo/,error,error,3.53,error,195679.17,26.5317,11.7823,20.1195,2.75,10336.65,5.46,error,24.81
31,?603313,http://topic.eastmoney.com/hkjjkj/,error,error,3.78,error,86666.92,10.7246,6.8258,7.7501,0.8,8741.54,3.65,0.45,12.18
32,?300548,http://topic.eastmoney.com/BCKJIPO/,error,error,4.84,error,19701.73,3.8216,3.1946,1.5059,0.32,4602.24,1.85,error,10.2
33,?603777,http://topic.eastmoney.com/lyf2012/,error,error,6.38,error,67407,17.4395,11.4783,17.0425,0.69,38897.08,5.46,0.38,6.22
34,?002813,http://topic.eastmoney.com/lckj/,error,error,5.36,error,47849.8,10.259,4.8265,3.8323,0.27,6765.49,2.92,error,5.7
35,?603421,http://topic.eastmoney.com/qddxtx/,error,error,2.94,error,84596.93,13.4981,11.5693,5.122,0.78,2031.28,6.24,error,7.14
